Point_ID,Hz_gon,V_gon,Ds_m,Face_nr,Set_nr
1,173.10965421900343,85.73877044142516,3.831801617199941,1,1
2,293.76161999156767,95.83592352452602,12.914042473062837,1,1
3,323.4324200248152,99.98756083486526,11.054793166828496,1,1
4,339.0432088764521,100.02127170454098,12.069420074157112,1,1
5,36.46149253029719,89.66029535782212,5.673650461983939,1,1
5,236.45831720018865,310.3456283069165,5.673750464635954,2,1
4,139.04036008569057,299.982705760768,12.068320044984963,2,1
3,123.43015473567512,300.0165216455299,11.055193177436548,2,1
2,93.7597428207497,304.16786201254655,12.91444248367089,2,1
1,373.1061081092157,314.2690436213384,3.832801643720075,2,1
1,173.10917956097782,85.73879494717875,3.833001649024102,1,2
2,293.76143352197244,95.83615779008493,12.913642462454783,1,2
3,323.4326370155701,99.98716538324813,11.05469316417648,1,2
4,339.04256182389776,100.02058641044025,12.068920060897044,1,2
5,36.46127061379278,89.66012195756898,5.673650461983939,1,2
5,236.45833843418333,310.34570039945066,5.673550459331927,2,2
4,139.04043621141844,299.9826418920301,12.069620079461139,2,2
3,123.43015791056808,300.01661699828287,11.055293180088562,2,2
2,93.75977382129022,304.1679105130572,12.914242478366864,2,2
1,373.1061202257051,314.2691627322829,3.832901646372089,2,2
1,173.10916601059716,85.73881839426386,3.832301630460008,1,3
2,293.7612546043277,95.83603043960721,12.914942496930959,1,3
3,323.43258255637556,99.9871687036541,11.055393182740575,1,3
4,339.0425100003528,100.02062993195118,12.06972008211315,1,3
5,36.46126565736879,89.66012078491701,5.673150448723873,1,3
5,236.45840567615554,310.34557590005505,5.67395046993998,2,3
4,139.04038684379228,299.9825946787457,12.068620052941004,2,3
3,123.43003222320192,300.01651047535984,11.054893169480508,2,3
2,93.75975700575148,304.1679191829239,12.914342481018878,2,3
1,373.10612453981906,314.2691963049123,3.833101651676116,2,3
1,173.10907845036988,85.73902552421112,3.832501635764035,1,4
2,293.7612665917223,95.83609550978146,12.913742465106795,1,4
3,323.4325446223346,99.98714865065322,11.055593188044602,1,4
4,339.0425410487435,100.0206568932571,12.06972008211315,1,4
5,36.46127742528324,89.66010701705925,5.673650461983939,1,4
5,236.45840033981352,310.34573515486824,5.67395046993998,2,4
4,139.04046869138597,299.9826314907527,12.06912006620107,2,4
3,123.43008744029635,300.01651514994956,11.05469316417648,2,4
2,93.75975343759295,304.16799572410514,12.91414247571485,2,4
1,373.10609354013445,314.26922539098933,3.832801643720075,2,4
1,173.10924765268166,85.73864215679643,3.832501635764035,1,5
2,293.761270532476,95.83605644164726,12.914342481018878,1,5
3,323.43255479179663,99.98725903131503,11.055093174784535,1,5
4,339.04253617968004,100.02071754929612,12.068720055593017,1,5
5,36.46130056398486,89.66020404844677,5.674550485852062,1,5
5,236.45831332586113,310.3457043442764,5.674050472591993,2,5
4,139.04044216565015,299.9827334600339,12.068720055593017,2,5
3,123.43015402689088,300.01657243637686,11.05469316417648,2,5
2,93.75969946792671,304.1679823205526,12.91444248367089,2,5
1,373.1061258906285,314.2692159017965,3.832701641068061,2,5
